Program,ML_course,IR_course,Stats_course,Databases_course,Gender,Chocolate,Age,Neighbors,Stand,Stress,Euros,Random_number,Bedtime,Good_day_1,Good_day_2
Other,no,0,mu,ja,male,I have no idea what you are talking about,24.0,0.0,unknown,61.0,4515169791.764706,95.0,11.0,food,other
Other,no,0,mu,ja,male,fat,24.0,0.0,no,61.0,99.0,6.0,11.0,other,other
Beta,yes,1,mu,ja,male,slim,30.0,0.0,no,40.0,0.0,5.0,0.0,other,socialize
Beta,no,0,mu,nee,female,slim,27.0,0.0,no,15.0,4515169791.764706,5.0,1.0,other,socialize
Beta,no,0,mu,nee,female,neither,26.0,0.0,no,10.0,4515169791.764706,7.0,11.0,other,food
Beta,yes,0,mu,ja,female,I have no idea what you are talking about,24.72429906542056,2.0,no,70.0,75.0,5.0,0.0,other,other
Beta,no,0,unknown,ja,male,neither,30.0,0.0,no,10.0,100.0,163.0,2.0,weather,other
Beta,no,0,mu,ja,female,slim,25.0,1.0,no,15.0,2.0,464.0,11.0,food,socialize
Beta,yes,1,mu,ja,female,fat,24.72429906542056,100.0,no,41.48736462093863,4515169791.764706,9.0,6.0,other,other
Other,no,0,mu,ja,male,slim,24.72429906542056,0.0,no,50.0,0.0,100000.0,1.0,food,drinks
Beta,yes,0,sigma,ja,male,fat,23.0,0.0,no,25.0,100.0,2.1134547392206386e+35,0.0,friends,other
Business,yes,1,mu,ja,female,neither,23.0,0.0,no,30.0,1.0,7.0,0.0,weather,socialize
Business,yes,0,mu,nee,female,neither,24.72429906542056,3.6496350364963503,unknown,50.0,50.0,13.0,0.0,productivity,sport
Beta,yes,1,mu,ja,male,fat,28.0,0.0,no,75.0,100.0,8.0,0.0,food,playing
Business,yes,unknown,mu,ja,male,neither,29.0,0.0,yes,60.0,100.0,28.0,10.0,sport,socialize
Beta,yes,1,mu,ja,female,neither,24.0,1.0,unknown,75.0,10.0,7.0,11.0,other,sport
Beta,no,0,mu,ja,male,neither,23.0,0.0,no,60.0,70.0,12.0,11.0,food,other
Beta,yes,unknown,unknown,nee,female,neither,25.0,0.0,no,70.0,4515169791.764706,2.0,0.0,productivity,socialize
Beta,no,0,mu,nee,female,fat,23.0,0.0,no,20.0,10.0,3.0,0.0,friends,other
Beta,yes,1,unknown,nee,female,neither,25.0,0.0,no,70.0,0.0,7.0,10.0,food,food
Beta,yes,0,mu,ja,female,I have no idea what you are talking about,24.72429906542056,0.0,no,80.0,100.0,7.0,8.0,productivity,productivity
Beta,no,0,sigma,nee,male,neither,23.0,0.0,no,40.0,2.0,43.0,1.0,sleep,sport
Other,no,1,unknown,ja,male,fat,24.0,0.0,no,10.0,1.0,5.0,0.0,productivity,sport
Beta,no,0,mu,nee,female,fat,24.0,0.0,no,50.0,10.0,9.0,2.0,weather,other
Beta,no,1,mu,nee,female,slim,24.0,1.0,no,50.0,4515169791.764706,73.0,3.0,sleep,food
Beta,yes,0,mu,nee,male,fat,24.72429906542056,0.0,no,50.0,100.0,1e-36,9.0,other,other
Business,yes,1,mu,ja,male,slim,25.0,0.0,no,40.0,1.0,25.0,4.0,drinks,food
Business,yes,1,mu,ja,female,neither,24.72429906542056,0.0,no,40.0,10.0,7.0,11.0,weather,other
